id,label,exact_synonym,related_synonym,db_xref,definition,alternative_id,in_subset,obo_namespace,skos_exact_match,skos_narrow_match,comment,creation_date,child
DOID:13241,Behcet's disease,Behet's syndrome,Behcet's syndrome,EFO:0003780 | GARD:848 | ICD10CM:M35.2 | ICD9CM:136.1 | MESH:D001528 | MIM:109650 | NCI:C34416 | SNOMEDCT_US_2025_09_01:310701003 | UMLS_CUI:C0004943,"An autoimmune disease that is characterized by mucocutaneous manifestations, including recurrent oral and genital ulcerations, ocular manifestations, especially chronic relapsing uveitis, and systemic vasculitis involving arteries and veins of all sizes.",,http://purl.obolibrary.org/obo/doid#DO_rare_slim | http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,OMIM mapping confirmed by DO. [SN].,,http://purl.obolibrary.org/obo/DOID_13241
DOID:13241,Behcet's disease,triple symptom complex,Behcet's syndrome,EFO:0003780 | GARD:848 | ICD10CM:M35.2 | ICD9CM:136.1 | MESH:D001528 | MIM:109650 | NCI:C34416 | SNOMEDCT_US_2025_09_01:310701003 | UMLS_CUI:C0004943,"An autoimmune disease that is characterized by mucocutaneous manifestations, including recurrent oral and genital ulcerations, ocular manifestations, especially chronic relapsing uveitis, and systemic vasculitis involving arteries and veins of all sizes.",,http://purl.obolibrary.org/obo/doid#DO_rare_slim | http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,OMIM mapping confirmed by DO. [SN].,,http://purl.obolibrary.org/obo/DOID_13241
DOID:14040,autoimmune polyendocrine syndrome,Autoimmune polyglandular failure,,ICD10CM:E31.0 | MESH:D016884 | NCI:C84576 | SNOMEDCT_US_2025_09_01:41864002 | UMLS_CUI:C0085409,An autoimmune disease of endocrine system characterized by abnormal functioning of the immune system that causes auto-reactivity against endocrine organs.,,http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_14040
DOID:14040,autoimmune polyendocrine syndrome,Lloyd's syndrome,,ICD10CM:E31.0 | MESH:D016884 | NCI:C84576 | SNOMEDCT_US_2025_09_01:41864002 | UMLS_CUI:C0085409,An autoimmune disease of endocrine system characterized by abnormal functioning of the immune system that causes auto-reactivity against endocrine organs.,,http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_14040
DOID:14040,autoimmune polyendocrine syndrome,autoimmune polyendocrinopathy,,ICD10CM:E31.0 | MESH:D016884 | NCI:C84576 | SNOMEDCT_US_2025_09_01:41864002 | UMLS_CUI:C0085409,An autoimmune disease of endocrine system characterized by abnormal functioning of the immune system that causes auto-reactivity against endocrine organs.,,http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_14040
DOID:14043,neonatal myasthenia gravis,,,ICD9CM:775.2 | MESH:D020941 | SNOMEDCT_US_2025_09_01:82178003 | UMLS_CUI:C0158982,,,,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_14043
DOID:14482,pemphigoid gestationis,Gestational herpes,,ICD10CM:O26.4 | MESH:D006559 | NCI:C85003 | SNOMEDCT_US_2025_09_01:86081009 | UMLS_CUI:C0019343,"A pemphigoid that is characterized by erythematous papules, vesicles, and plaques around the trunk and extremities that develop during pregnancy, particularly during the second and third trimesters, has_symptom pruritis, and has_material_basis_in autoantibodies to the basement membrane, which triggers a complement cascade and attracts eosinophils to the subepidermis.",,http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_14482
DOID:14482,pemphigoid gestationis,herpes gestationis,,ICD10CM:O26.4 | MESH:D006559 | NCI:C85003 | SNOMEDCT_US_2025_09_01:86081009 | UMLS_CUI:C0019343,"A pemphigoid that is characterized by erythematous papules, vesicles, and plaques around the trunk and extremities that develop during pregnancy, particularly during the second and third trimesters, has_symptom pruritis, and has_material_basis_in autoantibodies to the basement membrane, which triggers a complement cascade and attracts eosinophils to the subepidermis.",,http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_14482
DOID:2048,autoimmune hepatitis,Autoimmune chronic active hepatitis,,GARD:5871 | ICD9CM:571.42 | MESH:D019693 | NCI:C27778 | SNOMEDCT_US_2025_09_01:16098491000119109 | UMLS_CUI:C0241910 | UMLS_CUI:C1332355,An autoimmune disease of gastrointestinal tract that results_in inflammation located_in liver caused by the body's immune system attacking the liver cells.,DOID:4745,http://purl.obolibrary.org/obo/doid#DO_rare_slim | http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_2048
DOID:2048,autoimmune hepatitis,autoimmune hepatitis with centrilobular necrosis,,GARD:5871 | ICD9CM:571.42 | MESH:D019693 | NCI:C27778 | SNOMEDCT_US_2025_09_01:16098491000119109 | UMLS_CUI:C0241910 | UMLS_CUI:C1332355,An autoimmune disease of gastrointestinal tract that results_in inflammation located_in liver caused by the body's immune system attacking the liver cells.,DOID:4745,http://purl.obolibrary.org/obo/doid#DO_rare_slim | http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_2048
DOID:2377,multiple sclerosis,Generalized multiple sclerosis,,GARD:10255 | ICD10CM:G35 | ICD9CM:340 | MESH:D009103 | MIM:612594 | MIM:612595 | MIM:612596 | NCI:C3243 | SNOMEDCT_US_2025_09_01:155023009 | UMLS_CUI:C0026769,A demyelinating disease that involves damage to the fatty myelin sheaths around the axons of the brain and spinal cord resulting in demyelination and scarring.,,http://purl.obolibrary.org/obo/doid#DO_rare_slim | http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,MESH:D009103,,OMIM mapping confirmed by DO. [LS].,,http://purl.obolibrary.org/obo/DOID_2377
DOID:2377,multiple sclerosis,insular sclerosis,,GARD:10255 | ICD10CM:G35 | ICD9CM:340 | MESH:D009103 | MIM:612594 | MIM:612595 | MIM:612596 | NCI:C3243 | SNOMEDCT_US_2025_09_01:155023009 | UMLS_CUI:C0026769,A demyelinating disease that involves damage to the fatty myelin sheaths around the axons of the brain and spinal cord resulting in demyelination and scarring.,,http://purl.obolibrary.org/obo/doid#DO_rare_slim | http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,MESH:D009103,,OMIM mapping confirmed by DO. [LS].,,http://purl.obolibrary.org/obo/DOID_2377
DOID:2378,relapsing-remitting multiple sclerosis,RRMS,,EFO:0003929 | ICD10CM:G35.A | MESH:D020529 | NCI:C165675 | SNOMEDCT_US_2025_09_01:426373005 | UMLS_CUI:C0751967,"A multiple sclerosis that is characterized by relapse (attacks of symptom flare-ups) followed by remission (periods of recovery). Symptoms may vary from mild to severe, and relapses and remissions may last for days or months. More than 80 percent of people who have MS begin with relapsing-remitting cycles.",,http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_2378
DOID:2378,relapsing-remitting multiple sclerosis,Relapsing-remitting MS,,EFO:0003929 | ICD10CM:G35.A | MESH:D020529 | NCI:C165675 | SNOMEDCT_US_2025_09_01:426373005 | UMLS_CUI:C0751967,"A multiple sclerosis that is characterized by relapse (attacks of symptom flare-ups) followed by remission (periods of recovery). Symptoms may vary from mild to severe, and relapses and remissions may last for days or months. More than 80 percent of people who have MS begin with relapsing-remitting cycles.",,http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_2378
DOID:2988,antiphospholipid syndrome,APS,,GARD:5824 | ICD10CM:D68.61 | MESH:D016736 | MIM:107320 | NCI:C61283 | SNOMEDCT_US_2025_09_01:201450008 | UMLS_CUI:C0085278,An autoimmune disease that is characterized by recurrent venous or arterial thrombosis and/or fetal losses associated with characteristic elevated levels of antibodies directed against membrane anionic phospholipids (anticardiolipin).,,http://purl.obolibrary.org/obo/doid#DO_rare_slim | http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,MESH:D016736,,OMIM mapping confirmed by DO. [SN].,,http://purl.obolibrary.org/obo/DOID_2988
DOID:2988,antiphospholipid syndrome,antiphospholipid antibody syndrome,,GARD:5824 | ICD10CM:D68.61 | MESH:D016736 | MIM:107320 | NCI:C61283 | SNOMEDCT_US_2025_09_01:201450008 | UMLS_CUI:C0085278,An autoimmune disease that is characterized by recurrent venous or arterial thrombosis and/or fetal losses associated with characteristic elevated levels of antibodies directed against membrane anionic phospholipids (anticardiolipin).,,http://purl.obolibrary.org/obo/doid#DO_rare_slim | http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,MESH:D016736,,OMIM mapping confirmed by DO. [SN].,,http://purl.obolibrary.org/obo/DOID_2988
DOID:437,myasthenia gravis,,,GARD:7122 | ICD10CM:G70.0 | ICD10CM:G70.00 | ICD9CM:358.0 | ICD9CM:358.00 | MESH:D009157 | MIM:254200 | NCI:C60989 | SNOMEDCT_US_2025_09_01:155092009 | UMLS_CUI:C0026896 | UMLS_CUI:C1260409,"An autoimmune disease of the nervous system that has_material_basis_in antibodies to acetylcholine receptors at the neuromuscular junction, has_symptom ptosis, has_symptom diplopia, has_symptom dysphagia, has_symptom dysarthria, has_symptom muscle weakness and has_symptom shortness of breath.",DOID:443 | DOID:444,http://purl.obolibrary.org/obo/doid#DO_rare_slim | http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,OMIM mapping confirmed by DO. [SN].,,http://purl.obolibrary.org/obo/DOID_437
DOID:438,autoimmune disease of the nervous system,,autoimmune nervous system disorder,MESH:D020274 | NCI:C99383 | UMLS_CUI:C0751871,An autoimmune disease affecting the nervous system.,,http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_438
DOID:4780,anti-basement membrane glomerulonephritis,anti-GBM glomerulonephritis,,NCI:C35798 | UMLS_CUI:C1332309,A Goodpasture syndrome that is characterized by damage to only kidney capillaries.,,http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_4780
DOID:5213,chronic inflammatory demyelinating polyradiculoneuropathy,,,ICD10CM:G61.81 | ICD9CM:357.81 | MESH:D020277 | NCI:C84636 | SNOMEDCT_US_2025_09_01:128209004 | UMLS_CUI:C0393819 | GARD:6102,An autoimmune disease of peripheral nervous system that is characterized by inflammation of nerve roots and peripheral nerves and destruction of the fatty protective covering (myelin sheath) over the nerves. This affects how fast the nerve signals are transmitted and leads to loss of nerve fibers.,,http://purl.obolibrary.org/obo/doid#DO_rare_slim | http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_5213
DOID:7147,ankylosing spondylitis,Bekhterev syndrome,,EFO:0003898 | GARD:9518 | ICD10CM:M45 | ICD9CM:720.0 | MESH:D013167 | MIM:PS106300 | NCI:C84564 | ORDO:825 | SNOMEDCT_US_2025_09_01:156619005 | UMLS_CUI:C0038013,"An arthritis that results_in inflammation in the joints of the spine and pelvis. The disease has_symptom pain, has_symptom stiffness in the spine, has_symptom stiffness in the neck, has_symptom stiffness in the hips, has_symptom stiffness in the jaw and has_symptom stiffness in the rib cage.",,http://purl.obolibrary.org/obo/doid#DO_rare_slim | http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_7147
DOID:7147,ankylosing spondylitis,Bekhterev's disease,,EFO:0003898 | GARD:9518 | ICD10CM:M45 | ICD9CM:720.0 | MESH:D013167 | MIM:PS106300 | NCI:C84564 | ORDO:825 | SNOMEDCT_US_2025_09_01:156619005 | UMLS_CUI:C0038013,"An arthritis that results_in inflammation in the joints of the spine and pelvis. The disease has_symptom pain, has_symptom stiffness in the spine, has_symptom stiffness in the neck, has_symptom stiffness in the hips, has_symptom stiffness in the jaw and has_symptom stiffness in the rib cage.",,http://purl.obolibrary.org/obo/doid#DO_rare_slim | http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_7147
DOID:7147,ankylosing spondylitis,Marie-Strumpell disease,,EFO:0003898 | GARD:9518 | ICD10CM:M45 | ICD9CM:720.0 | MESH:D013167 | MIM:PS106300 | NCI:C84564 | ORDO:825 | SNOMEDCT_US_2025_09_01:156619005 | UMLS_CUI:C0038013,"An arthritis that results_in inflammation in the joints of the spine and pelvis. The disease has_symptom pain, has_symptom stiffness in the spine, has_symptom stiffness in the neck, has_symptom stiffness in the hips, has_symptom stiffness in the jaw and has_symptom stiffness in the rib cage.",,http://purl.obolibrary.org/obo/doid#DO_rare_slim | http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,,http://purl.obolibrary.org/obo/DOID_7147
DOID:7188,autoimmune thyroiditis,Chronic Lymphocytic Thyroiditis,,ICD10CM:E06.3 | MESH:D013967 | NCI:C38766 | SNOMEDCT_US_2025_09_01:190297000 | UMLS_CUI:C0920350,An autoimmune disease of endocrine system that involves inflammation located_in thyroid gland caused by the immune system reacting against its own tissues.,DOID:0050435,http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,OMIM mapping confirmed by DO. [SN].,,http://purl.obolibrary.org/obo/DOID_7188
DOID:7188,autoimmune thyroiditis,Hashimoto thyroiditis,,ICD10CM:E06.3 | MESH:D013967 | NCI:C38766 | SNOMEDCT_US_2025_09_01:190297000 | UMLS_CUI:C0920350,An autoimmune disease of endocrine system that involves inflammation located_in thyroid gland caused by the immune system reacting against its own tissues.,DOID:0050435,http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,OMIM mapping confirmed by DO. [SN].,,http://purl.obolibrary.org/obo/DOID_7188
DOID:7188,autoimmune thyroiditis,Hashimoto's Disease,,ICD10CM:E06.3 | MESH:D013967 | NCI:C38766 | SNOMEDCT_US_2025_09_01:190297000 | UMLS_CUI:C0920350,An autoimmune disease of endocrine system that involves inflammation located_in thyroid gland caused by the immune system reacting against its own tissues.,DOID:0050435,http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,OMIM mapping confirmed by DO. [SN].,,http://purl.obolibrary.org/obo/DOID_7188
DOID:7188,autoimmune thyroiditis,Hashimoto's syndrome,,ICD10CM:E06.3 | MESH:D013967 | NCI:C38766 | SNOMEDCT_US_2025_09_01:190297000 | UMLS_CUI:C0920350,An autoimmune disease of endocrine system that involves inflammation located_in thyroid gland caused by the immune system reacting against its own tissues.,DOID:0050435,http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,OMIM mapping confirmed by DO. [SN].,,http://purl.obolibrary.org/obo/DOID_7188
