disease,dbxref
http://purl.obolibrary.org/obo/UBERON_0008790,Wikipedia:Rugae
http://purl.obolibrary.org/obo/UBERON_0002754,neuronames:780
http://purl.obolibrary.org/obo/UBERON_0002754,MESH:D065844
http://purl.obolibrary.org/obo/UBERON_0002754,UMLS:C0175542
http://purl.obolibrary.org/obo/UBERON_0002754,BAMS:pd
http://purl.obolibrary.org/obo/UBERON_0002754,BIRNLEX:1590
http://purl.obolibrary.org/obo/UBERON_0002754,FMA:72614
http://purl.obolibrary.org/obo/UBERON_0005977,HBA:12939
http://purl.obolibrary.org/obo/UBERON_0005977,MBA:1064
http://purl.obolibrary.org/obo/UBERON_0005977,FMA:72525
http://purl.obolibrary.org/obo/UBERON_0005977,neuronames:668
http://purl.obolibrary.org/obo/UBERON_0005977,BAMS:ISL
http://purl.obolibrary.org/obo/UBERON_0005977,NLXANAT:20081209
http://purl.obolibrary.org/obo/UBERON_0005977,EMAPA:37399
http://purl.obolibrary.org/obo/UBERON_2001799,ZFA:0005493
http://purl.obolibrary.org/obo/UBERON_2000956,ZFA:0000956
http://purl.obolibrary.org/obo/GO_0046692,Wikipedia:Sperm_competition
http://purl.obolibrary.org/obo/PR_000001935,PIRSF:PIRSF015854
http://purl.obolibrary.org/obo/CHEBI_35692,KEGG:C02028
http://purl.obolibrary.org/obo/CL_0002663,FMA:83389
http://purl.obolibrary.org/obo/CL_0002316,FMA:75607
http://purl.obolibrary.org/obo/UBERON_0001606,Wikipedia:Iris_muscle
http://purl.obolibrary.org/obo/UBERON_0001606,MA:0001287
http://purl.obolibrary.org/obo/UBERON_0001606,SCTID:280888007
http://purl.obolibrary.org/obo/UBERON_0001606,FMA:49154
http://purl.obolibrary.org/obo/GO_0005575,NIF_Subcellular:sao1337158144
http://purl.obolibrary.org/obo/PR_000001289,IUPHARobj:2628
http://purl.obolibrary.org/obo/PR_000001289,PIRSF:PIRSF001995
http://purl.obolibrary.org/obo/UBERON_0035597,XAO:0004093
http://purl.obolibrary.org/obo/GO_0016070,Reactome:R-HSA-8953854
http://purl.obolibrary.org/obo/UBERON_0008989,FMA:9404
http://purl.obolibrary.org/obo/UBERON_0008989,BTO:0003634
http://purl.obolibrary.org/obo/UBERON_0008989,NCIT:C32536
http://purl.obolibrary.org/obo/UBERON_0008989,UMLS:C0227178
http://purl.obolibrary.org/obo/UBERON_0008989,SCTID:322749003
http://purl.obolibrary.org/obo/UBERON_0008989,Wikipedia:Esophageal_glands
http://purl.obolibrary.org/obo/UBERON_0003241,RETIRED_EHDAA2:0002155
http://purl.obolibrary.org/obo/UBERON_0003241,FMA:75604
http://purl.obolibrary.org/obo/UBERON_0003241,VHOG:0000634
http://purl.obolibrary.org/obo/UBERON_0003241,MA:0001204
http://purl.obolibrary.org/obo/UBERON_0003241,EMAPA:17295
http://purl.obolibrary.org/obo/UBERON_0003241,EHDAA:4730
http://purl.obolibrary.org/obo/UBERON_0012367,FMA:15697
http://purl.obolibrary.org/obo/UBERON_0003690,FMA:16202
http://purl.obolibrary.org/obo/UBERON_0003690,Wikipedia:Sacrum
http://purl.obolibrary.org/obo/UBERON_0003690,GAID:241
http://purl.obolibrary.org/obo/UBERON_0003690,galen:Sacrum
http://purl.obolibrary.org/obo/UBERON_0003690,NCIT:C33508
http://purl.obolibrary.org/obo/UBERON_0003690,MESH:D012447
http://purl.obolibrary.org/obo/UBERON_0003690,SCTID:264186006
http://purl.obolibrary.org/obo/UBERON_0003690,EFO:0003071
http://purl.obolibrary.org/obo/UBERON_0003690,CALOHA:TS-2201
http://purl.obolibrary.org/obo/UBERON_0009593,EMAPA:17487
http://purl.obolibrary.org/obo/UBERON_0009593,EHDAA2:0000867
http://purl.obolibrary.org/obo/UBERON_0003369,SCTID:277719009
http://purl.obolibrary.org/obo/UBERON_0003369,Wikipedia:Fossa_ovalis_(heart)
http://purl.obolibrary.org/obo/UBERON_0003369,FMA:9246
http://purl.obolibrary.org/obo/UBERON_8920045,FMA:14776
http://purl.obolibrary.org/obo/UBERON_2000852,ZFA:0000852
http://purl.obolibrary.org/obo/GO_0060896,Reactome:R-HSA-9834899
http://purl.obolibrary.org/obo/UBERON_2005370,ZFA:0005370
http://purl.obolibrary.org/obo/UBERON_0002357,Wikipedia:Serous_pericardium
http://purl.obolibrary.org/obo/UBERON_0002357,EMAPA:19030
http://purl.obolibrary.org/obo/UBERON_0002357,SCTID:243954002
http://purl.obolibrary.org/obo/UBERON_0002357,MA:0002739
http://purl.obolibrary.org/obo/UBERON_0002357,FMA:9582
http://purl.obolibrary.org/obo/UBERON_0001587,FMA:4725
http://purl.obolibrary.org/obo/UBERON_0001587,EHDAA:4455
