Disease,Disease_mondo_reference,Disease_uberon_reference,Disease_cl_reference,Disease_doid_reference
St. Vitus Dance,,,,
Sydenham chorea,prefix='mondo' identifier='0017648' name='Sydenham chorea',,,
Syndenham chorea,,,,
Rheumatic fever,prefix='mondo' identifier='0017767' name='rheumatic fever',,,prefix='doid' identifier='1586' name='rheumatic fever'
Acute rheumatic fever,prefix='mondo' identifier='0017767' name='rheumatic fever',,,prefix='doid' identifier='1586' name='rheumatic fever'
Inflammatory rheumatism,prefix='mondo' identifier='0005554' name='rheumatic disorder',,,
Rheumatic arthritis,,,,
Acute rheumatic myocarditis,prefix='mondo' identifier='0004582' name='rheumatic myocarditis',,,prefix='doid' identifier='8481' name='rheumatic myocarditis'
Rheumatoid arthritis,prefix='mondo' identifier='0008383' name='rheumatoid arthritis',,,prefix='doid' identifier='7148' name='rheumatoid arthritis'
Rheumatoid vasculitis,prefix='mondo' identifier='0043267' name='rheumatoid vasculitis',,,
RV,,,,
Sarcoidosis,prefix='mondo' identifier='0019338' name='sarcoidosis',,,prefix='doid' identifier='11335' name='sarcoidosis'
Besnier-Boeck-Schaumann disease,prefix='mondo' identifier='0019338' name='sarcoidosis',,,
Lupus pernio,,,,
Lofgrens syndrome,prefix='mondo' identifier='0020666' name='Löfgren syndrome',,,
Schnitzler syndrome,prefix='mondo' identifier='0018304' name='Schnitzler syndrome',,,prefix='doid' identifier='4371' name='Schnitzler syndrome'
Chronic urticaria with gammapathy,prefix='mondo' identifier='0018304' name='Schnitzler syndrome',,,
Chronic urticaria with gammopathy,prefix='mondo' identifier='0018304' name='Schnitzler syndrome',,,
Chronic urticaria with macroglobulinemia,prefix='mondo' identifier='0018304' name='Schnitzler syndrome',,,
Schnitzler's syndrome,,,,
Scleritis,prefix='mondo' identifier='0001718' name='scleritis',,,prefix='doid' identifier='13452' name='scleritis'
Sjögren's disease,,,,
SJS,prefix='mondo' identifier='0009717' name='Schwartz-Jampel syndrome',,,
Sjogren's disease,,,,
Keratoconjunctivitis sicca,prefix='mondo' identifier='0006733' name='dry eye syndrome',,,prefix='doid' identifier='12895' name='keratoconjunctivitis sicca'
Sicca syndrome,prefix='mondo' identifier='0010030' name='Sjogren syndrome',,,"prefix='doid' identifier='12894' name=""Sjogren's syndrome"""
Sjögrens disease,,,,
Sjögren's syndrome,prefix='mondo' identifier='0010030' name='Sjogren syndrome',,,"prefix='doid' identifier='12894' name=""Sjogren's syndrome"""
SLE glomerulonephritis syndrome,,,,
Lupus nephritis,prefix='mondo' identifier='0005556' name='lupus nephritis',,,prefix='doid' identifier='0080162' name='lupus nephritis'
Steroid-responsive encephalopathy associated with autoimmune thyroiditis,prefix='mondo' identifier='0019385' name='steroid-responsive encephalopathy associated with autoimmune thyroiditis',,,
Hashimoto's encephalopathy,prefix='mondo' identifier='0019385' name='steroid-responsive encephalopathy associated with autoimmune thyroiditis',,,
Hashimoto's encephalitis,prefix='mondo' identifier='0019385' name='steroid-responsive encephalopathy associated with autoimmune thyroiditis',,,
Encephalopathy associated with autoimmune thyroid disease,,,,
Nonvasculitic autoimmune meningoecephalitis,,,,
Stiff-person syndrome,prefix='mondo' identifier='0008491' name='stiff-person syndrome',,,prefix='doid' identifier='13366' name='Stiff-Person syndrome'
Moersch-Woltman syndrome,prefix='mondo' identifier='0008491' name='stiff-person syndrome',,,
Stiff man syndrome,prefix='mondo' identifier='0008491' name='stiff-person syndrome',,,prefix='doid' identifier='13366' name='Stiff-Person syndrome'
Stiff person syndrome,prefix='mondo' identifier='0008491' name='stiff-person syndrome',,,
Subacute bacterial endocarditis,prefix='mondo' identifier='0006981' name='subacute bacterial endocarditis',,,prefix='doid' identifier='4562' name='subacute bacterial endocarditis'
Subacute infective endocarditis,,,,
Subacute native valve endocarditis,,,,
Sympathetic uveitis,prefix='mondo' identifier='0019198' name='sympathetic ophthalmia',,,prefix='doid' identifier='12029' name='sympathetic ophthalmia'
Exciting Eye,,,,
Spared Eye Injury,,,,
Sympathetic ophthalmia,prefix='mondo' identifier='0019198' name='sympathetic ophthalmia',,,prefix='doid' identifier='12029' name='sympathetic ophthalmia'
Sympathizing Eye,,,,
SLE,prefix='mondo' identifier='0007915' name='systemic lupus erythematosus',,,
Systemic lupus erythematosus,prefix='mondo' identifier='0007915' name='systemic lupus erythematosus',,,prefix='doid' identifier='9074' name='systemic lupus erythematosus'
Lupus,prefix='mondo' identifier='0007915' name='systemic lupus erythematosus',,,prefix='doid' identifier='8857' name='lupus erythematosus'
Systemic mast cell disease,prefix='mondo' identifier='0016586' name='systemic mastocytosis',,,
Systemic sclerosis,prefix='mondo' identifier='0005100' name='systemic sclerosis',,,prefix='doid' identifier='418' name='systemic scleroderma'
Diffuse Systemic sclerosis,prefix='mondo' identifier='0005019' name='diffuse scleroderma',,,prefix='doid' identifier='1580' name='diffuse scleroderma'
Scleroderma,prefix='mondo' identifier='0019340' name='scleroderma',,,prefix='doid' identifier='419' name='scleroderma'
Systemic scleroderma,prefix='mondo' identifier='0005100' name='systemic sclerosis',,,prefix='doid' identifier='418' name='systemic scleroderma'
Limited cutaneous systemic sclerosis,prefix='mondo' identifier='0016358' name='limited cutaneous systemic sclerosis',,,prefix='doid' identifier='1577' name='limited scleroderma'
Systemic sclerosis sine scleroderma,prefix='mondo' identifier='0016359' name='limited systemic sclerosis',,,
dcSSc,prefix='mondo' identifier='0016356' name='diffuse cutaneous systemic sclerosis',,,
lcSSc,prefix='mondo' identifier='0019563' name='CREST syndrome',,,
Systemic sclerosis with limited cutaneous involvement,,,,
CREST syndrome,prefix='mondo' identifier='0019563' name='CREST syndrome',,,prefix='doid' identifier='0060218' name='CREST syndrome'
Diffuse cutaneous systemic sclerosis,prefix='mondo' identifier='0016356' name='diffuse cutaneous systemic sclerosis',,,
Takayasu's arteritis,prefix='mondo' identifier='0017991' name='Takayasu arteritis',,,"prefix='doid' identifier='2508' name=""Takayasu's arteritis"""
Takayasu's disease,prefix='mondo' identifier='0017991' name='Takayasu arteritis',,,"prefix='doid' identifier='2508' name=""Takayasu's arteritis"""
GCA,prefix='mondo' identifier='0008538' name='temporal arteritis',,,
Temporal arteritis,prefix='mondo' identifier='0008538' name='temporal arteritis',,,prefix='doid' identifier='13375' name='temporal arteritis'
Cranial arteritis,prefix='mondo' identifier='0008538' name='temporal arteritis',,,
Giant cell arteritis,prefix='mondo' identifier='0008538' name='temporal arteritis',,,prefix='doid' identifier='13375' name='temporal arteritis'
Granulomatous arteritis,prefix='mondo' identifier='0002341' name='granulomatous angiitis',,,
Horton's disease,prefix='mondo' identifier='0008538' name='temporal arteritis',,,prefix='doid' identifier='13375' name='temporal arteritis'
THS,prefix='mondo' identifier='0018983' name='Tolosa-Hunt syndrome',,,
Tolosa-Hunt syndrome,prefix='mondo' identifier='0018983' name='Tolosa-Hunt syndrome',,,prefix='doid' identifier='1278' name='tolosa-hunt syndrome'
Non-specific inflammation of the cavernous sinus,,,,
Non-specific inflammation of the superior orbital fissure,,,,
Painful Ophthalmoplegia,prefix='mondo' identifier='0018983' name='Tolosa-Hunt syndrome',,,
Transverse myelitis,prefix='mondo' identifier='0021553' name='transverse myelitis',,,prefix='doid' identifier='0080743' name='transverse myelitis'
Secondary acute transverse myelitis,,,,
UCTD,prefix='mondo' identifier='0019527' name='undifferentiated connective tissue syndrome',,,
Undifferentiated connective tissue disease,prefix='mondo' identifier='0019527' name='undifferentiated connective tissue syndrome',,,
Undifferentiated connective tissue syndrome,prefix='mondo' identifier='0019527' name='undifferentiated connective tissue syndrome',,,
Urticarial vasculitis,,,,
Uveitis,prefix='mondo' identifier='0020283' name='uveitis',,,prefix='doid' identifier='13141' name='uveitis'
Autoimmune uveitis,prefix='mondo' identifier='0031012' name='autoimmune uveitis',,,prefix='doid' identifier='0040088' name='autoimmune uveitis'
Idiopathic uveitis,,,,
Vitiligo,prefix='mondo' identifier='0008661' name='vitiligo',,,prefix='doid' identifier='12306' name='vitiligo'
Leukoderma,,,,
Vogt-Koyanagi-Harada disease,prefix='mondo' identifier='0018092' name='Vogt-Koyanagi-Harada disease',,,prefix='doid' identifier='12297' name='Vogt-Koyanagi-Harada disease'
Warm autoimmune hemolytic anemia,"prefix='mondo' identifier='0019532' name='autoimmune hemolytic anemia, warm type'",,,
Acquired autoimmune hemolytic anemia,prefix='mondo' identifier='0020108' name='autoimmune hemolytic anemia',,,
Idiopathic autoimmune hemolytic anemia,prefix='mondo' identifier='0020108' name='autoimmune hemolytic anemia',,,
Immune hemolytic anemia,,,,
Immunohemolytic anemia,prefix='mondo' identifier='0020108' name='autoimmune hemolytic anemia',,,
,,,,
