Parent,Parent_curie,Parent_name,Parent_link
Chronic interstitial cystitis,DOID:0001678,chronic interstitial cystitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_1678
Chronic Lyme disease,,,
Chronic multifocal osteomyelitis,DOID:0060645,chronic recurrent multifocal osteomyelitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0060645
Chronic post-COVID-19 syndrome,,,
Cogan's syndrome,DOID:0060216,Cogan syndrome,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0060216
Cold agglutinin disease,,,
Complex regional pain syndrome,DOID:0003223,complex regional pain syndrome,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_3223
Crohn's disease,DOID:0008778,Crohn's disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_8778
Cryptogenic organizing pneumonia,DOID:0050157,cryptogenic organizing pneumonia,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0050157
Cutaneous lupus erythematosus,DOID:0050169,cutaneous lupus erythematosus,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0050169
Cutaneous mastocytosis,DOID:0003663,cutaneous mastocytosis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_3663
Dermatitis herpetiformis,DOID:0008505,dermatitis herpetiformis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_8505
Dermatomyositis,DOID:0010223,dermatomyositis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_10223
Diabetes mellitus type 1,,,
Eaton-Lambert syndrome,DOID:0050214,Lambert-Eaton myasthenic syndrome,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0050214
Endometriosis,DOID:0000289,endometriosis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_289
Enthesitis,,,
Eosinophilic esophagitis,DOID:0013922,eosinophilic esophagitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_13922
Eosinophilic Esophagitis,DOID:0013922,eosinophilic esophagitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_13922
Epilepsy,DOID:0001826,epilepsy,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_1826
Episcleritis,,,
Erythema nodosum,DOID:0080750,erythema nodosum,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0080750
Essential mixed cryoglobulinemia,,,
Evans syndrome,,,
Fasciitis with eosinophilia syndrome,,,
Felty syndrome,DOID:0011042,Felty's syndrome,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_11042
Female infertility due to antisperm antibodies,,,
Fibromyalgia,DOID:0000631,fibromyalgia,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_631
Graves' disease,DOID:0012361,Graves' disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_12361
Guillain-Barré syndrome,DOID:0012842,Guillain-Barre syndrome,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_12842
Herpes gestationis,DOID:0014482,pemphigoid gestationis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_14482
Hidradenitis suppurativa,DOID:0002280,hidradenitis suppurativa,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_2280
Hypersensitivity angiitis,,,
Idiopathic pulmonary fibrosis,DOID:0050156,idiopathic pulmonary fibrosis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0050156
IgA nephropathy,DOID:0002986,IgA glomerulonephritis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_2986
Immune thrombocytopenia,DOID:0001587,thrombocytopenia due to platelet alloimmunization,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_1587
Immunoglobulin A vasculitis,DOID:0011123,IgA vasculitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_11123
Immunoglobulin G4 related disease,,,
Inclusion Body Myositis,DOID:0003429,inclusion body myositis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_3429
Inclusion body myositis,DOID:0003429,inclusion body myositis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_3429
Inflammatory Bowel Disease,DOID:0050589,inflammatory bowel disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0050589
Intermediate uveitis,DOID:0012732,intermediate uveitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_12732
Interstitial lung disease,DOID:0003082,interstitial lung disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_3082
Juvenile Rheumatoid Arthritis,DOID:0000676,systemic juvenile rheumatoid arthritis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_676
Lichen planus,DOID:0009201,lichen planus,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_9201
Lichen sclerosus,,,
Ligneous conjunctivitis,,,
Linear IgA dermatosis,,,
Lipomatosis dolorosa,,,
Lupus vasculitis,,,
Male infertility associated with antisperm antibodies,,,
Microscopic colitis,DOID:0060182,microscopic colitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0060182
Microscopic polyangiitis,,,
Mixed collagen vascular disease,DOID:0003492,mixed connective tissue disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_3492
Mooren's ulcer,DOID:0010439,Mooren's ulcer,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_10439
Morphea,DOID:0008472,localized scleroderma,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_8472
Moyamoya disease,DOID:0013099,Moyamoya disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_13099
Multiple Sclerosis,DOID:0002377,multiple sclerosis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_2377
Multiple sclerosis,DOID:0002377,multiple sclerosis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_2377
Myasthenia gravis,DOID:0000437,myasthenia gravis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_437
Myelin oligodendrocyte glycoprotein antibody-associated disease,,,
Myocarditis due to autoimmune disease,,,
Myositis,DOID:0000633,myositis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_633
Necrotizing vasculitis,,,
Neuralgic amyotrophy,DOID:0010383,amyotrophic neuralgia,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_10383
Neuromyelitis optica,DOID:0008869,neuromyelitis optica,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_8869
Neuromyotonia,,,
Ophthalmoplegia due to Graves' disease,,,
Opsoclonus-myoclonus syndrome,,,
Palindromic rheumatism,DOID:0001166,palindromic rheumatism,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_1166
Paraneoplastic cerebellar degeneration,,,
Paroxysmal nocturnal hemoglobinuria,DOID:0060284,paroxysmal nocturnal hemoglobinuria,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0060284
Pediatric autoimmune neuropsychiatric disorder associated with streptococcal infection,,,
Pemphigus,DOID:0009182,pemphigus,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_9182
POEMS syndrome,DOID:0014039,POEMS syndrome,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_14039
Polyarteritis nodosa,DOID:0009810,polyarteritis nodosa,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_9810
Polyglandular autoimmune syndrome type 1,,,
Polyglandular autoimmune syndrome type 2,,,
Polyglandular autoimmune syndrome type 3,,,
Polyglandular autoimmune syndrome type 4,,,
Polymyalgia rheumatica,DOID:0000853,polymyalgia rheumatica,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_853
Polymyositis,DOID:0080745,polymyositis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0080745
Postmyocardial infarction syndrome,DOID:0010507,Dressler's syndrome,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_10507
Primary biliary cholangitis,DOID:0012236,primary biliary cholangitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_12236
Primary idiopathic dilated cardiomyopathy,,,
Primary sclerosing cholangitis,DOID:0060643,primary sclerosing cholangitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0060643
Progressive hemifacial atrophy,,,
Psoriasis,DOID:0008893,psoriasis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_8893
Psoriatic arthritis,DOID:0009008,psoriatic arthritis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_9008
Pure red cell aplasia,DOID:0001340,pure red-cell aplasia,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_1340
Pyoderma gangrenosum,DOID:0008553,pyoderma gangrenosum,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_8553
Rasmussen syndrome,,,
Raynaud's phenomenon,,,
Reactive arthritis,DOID:0006196,reactive arthritis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_6196
Relapsing polychondritis,DOID:0002556,relapsing polychondritis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_2556
Restless legs,,,
Retinocochleocerebral vasculopathy,,,
Rheumatic Chorea,,,
Rheumatic chorea,,,
Rheumatic fever,DOID:0001586,rheumatic fever,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_1586
Rheumatoid arthritis,DOID:0007148,rheumatoid arthritis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_7148
Rheumatoid vasculitis,,,
Sarcoidosis,DOID:0011335,sarcoidosis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_11335
Schnitzler syndrome,DOID:0004371,Schnitzler syndrome,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_4371
Scleritis,DOID:0013452,scleritis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_13452
Sjögren's disease,,,
SLE glomerulonephritis syndrome,,,
Steroid-responsive encephalopathy associated with autoimmune thyroiditis,,,
Stiff-person syndrome,DOID:0013366,Stiff-Person syndrome,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_13366
Subacute bacterial endocarditis,DOID:0004562,subacute bacterial endocarditis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_4562
Sympathetic uveitis,DOID:0012029,sympathetic ophthalmia,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_12029
Systemic lupus erythematosus,DOID:0009074,systemic lupus erythematosus,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_9074
Systemic mast cell disease,,,
Systemic sclerosis,DOID:0000418,systemic scleroderma,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_418
Systemic sclerosis with limited cutaneous involvement,,,
Takayasu's arteritis,DOID:0002508,Takayasu's arteritis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_2508
Temporal arteritis,DOID:0013375,temporal arteritis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_13375
Tolosa-Hunt syndrome,DOID:0001278,tolosa-hunt syndrome,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_1278
Transverse myelitis,DOID:0080743,transverse myelitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_0080743
Ulcerative colitis,DOID:0008577,ulcerative colitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_8577
Undifferentiated connective tissue disease,,,
Urticarial vasculitis,,,
Uveitis,DOID:0013141,uveitis,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_13141
Vitiligo,DOID:0012306,vitiligo,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_12306
Vogt-Koyanagi-Harada disease,DOID:0012297,Vogt-Koyanagi-Harada disease,https://www.ebi.ac.uk/ols/ontologies/doid/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FDOID_12297
Warm autoimmune hemolytic anemia,,,
