Parent,Parent_mondo_reference,Parent_uberon_reference,Parent_cl_reference,Parent_doid_reference
Cutaneous lupus erythematosus,prefix='mondo' identifier='0005282' name='cutaneous lupus erythematosus',,,prefix='doid' identifier='0050169' name='cutaneous lupus erythematosus'
Cutaneous mastocytosis,prefix='mondo' identifier='0019023' name='cutaneous mastocytosis',,,prefix='doid' identifier='3663' name='cutaneous mastocytosis'
Dermatitis herpetiformis,prefix='mondo' identifier='0015614' name='dermatitis herpetiformis',,,prefix='doid' identifier='8505' name='dermatitis herpetiformis'
Dermatomyositis,prefix='mondo' identifier='0016367' name='dermatomyositis',,,prefix='doid' identifier='10223' name='dermatomyositis'
Diabetes mellitus type 1,,,,
Eaton-Lambert syndrome,prefix='mondo' identifier='0018556' name='Lambert-Eaton myasthenic syndrome',,,prefix='doid' identifier='0050214' name='Lambert-Eaton myasthenic syndrome'
Endometriosis,prefix='mondo' identifier='0005133' name='endometriosis',,,prefix='doid' identifier='289' name='endometriosis'
Enthesitis,prefix='mondo' identifier='0024419' name='enthesitis',,,
Eosinophilic esophagitis,prefix='mondo' identifier='0005361' name='eosinophilic esophagitis',,,prefix='doid' identifier='13922' name='eosinophilic esophagitis'
Eosinophilic Esophagitis,prefix='mondo' identifier='0005361' name='eosinophilic esophagitis',,,prefix='doid' identifier='13922' name='eosinophilic esophagitis'
Epilepsy,prefix='mondo' identifier='0005027' name='epilepsy',,,prefix='doid' identifier='1826' name='epilepsy'
Episcleritis,,,,
Erythema nodosum,prefix='mondo' identifier='0850231' name='erythema nodosum',,,prefix='doid' identifier='0080750' name='erythema nodosum'
Essential mixed cryoglobulinemia,prefix='mondo' identifier='0007407' name='Cryoglobulinemic vasculitis',,,
Evans syndrome,prefix='mondo' identifier='0016030' name='Evans syndrome',,,
Fasciitis with eosinophilia syndrome,,,,
Felty syndrome,prefix='mondo' identifier='0007603' name='Felty syndrome',,,"prefix='doid' identifier='11042' name=""Felty's syndrome"""
Female infertility due to antisperm antibodies,,,,
Fibromyalgia,prefix='mondo' identifier='0005546' name='fibromyalgia',,,prefix='doid' identifier='631' name='fibromyalgia'
Graves' disease,,,,"prefix='doid' identifier='12361' name=""Graves' disease"""
