term,term_curie,uberon_curie,cl_curie,doid_curie,mondo_reference,uberon_reference,cl_reference,doid_reference
Polyglandular autoimmune syndrome type 1,mondo:0009411,,,,prefix='mondo' identifier='0009411' name='autoimmune polyendocrine syndrome type 1',,,
Aplastic anemia,mondo:0015909,,,doid:12449,prefix='mondo' identifier='0015909' name='aplastic anemia',,,prefix='doid' identifier='12449' name='aplastic anemia'
Polyglandular autoimmune syndrome type 2,,,,,,,,
Opsoclonus-myoclonus syndrome,mondo:0015247,,,,prefix='mondo' identifier='0015247' name='opsoclonus-myoclonus syndrome',,,
Immune thrombocytopenia,mondo:0002048,,,doid:1587,prefix='mondo' identifier='0002048' name='thrombocytopenia due to immune destruction',,,prefix='doid' identifier='1587' name='thrombocytopenia due to platelet alloimmunization'
Autoimmune gastritis,mondo:0031014,,,doid:0040090,prefix='mondo' identifier='0031014' name='autoimmune gastritis',,,prefix='doid' identifier='0040090' name='autoimmune gastritis'
Relapsing polychondritis,mondo:0019125,,,doid:2556,prefix='mondo' identifier='0019125' name='relapsing polychondritis',,,prefix='doid' identifier='2556' name='relapsing polychondritis'
Myocarditis due to autoimmune disease,,,,,,,,
Essential mixed cryoglobulinemia,mondo:0007407,,,,prefix='mondo' identifier='0007407' name='Cryoglobulinemic vasculitis',,,
Autoimmune disease,mondo:0007179,,,doid:417,prefix='mondo' identifier='0007179' name='autoimmune disease',,,prefix='doid' identifier='417' name='autoimmune disease'
Autoimmune disorder of inner ear,,,,,,,,
Autoimmune encephalitis,mondo:0020640,,,,prefix='mondo' identifier='0020640' name='autoimmune encephalitis',,,
Autoimmune hemolytic anemia,mondo:0020108,,,doid:718,prefix='mondo' identifier='0020108' name='autoimmune hemolytic anemia',,,prefix='doid' identifier='718' name='autoimmune hemolytic anemia'
Autoimmune hepatitis,mondo:0016264,,,doid:2048,prefix='mondo' identifier='0016264' name='autoimmune hepatitis',,,prefix='doid' identifier='2048' name='autoimmune hepatitis'
Graves' disease,mondo:0005364,,,doid:12361,prefix='mondo' identifier='0005364' name='Graves disease',,,"prefix='doid' identifier='12361' name=""Graves' disease"""
Autoimmune lymphoproliferative syndrome,mondo:0017979,,,doid:6688,prefix='mondo' identifier='0017979' name='autoimmune lymphoproliferative syndrome',,,prefix='doid' identifier='6688' name='autoimmune lymphoproliferative syndrome'
Myositis,mondo:0008054,,,doid:633,prefix='mondo' identifier='0008054' name='juvenile dermatomyositis',,,prefix='doid' identifier='633' name='myositis'
Autoimmune neutropenia,,,,,,,,
Autoimmune oophoritis,mondo:0021950,,,,prefix='mondo' identifier='0021950' name='autoimmune oophoritis',,,
Male infertility associated with antisperm antibodies,,,,,,,,
Autoimmune pancreatitis,mondo:0015175,,,doid:0040091,prefix='mondo' identifier='0015175' name='autoimmune pancreatitis',,,prefix='doid' identifier='0040091' name='autoimmune pancreatitis'
Polyglandular autoimmune syndrome type 3,mondo:0016422,,,,prefix='mondo' identifier='0016422' name='autoimmune polyendocrinopathy type 3',,,
Polyglandular autoimmune syndrome type 4,,,,,,,,
Autoimmune retinopathy,mondo:0100014,,,,prefix='mondo' identifier='0100014' name='autoimmune retinopathy',,,
Autoimmune thyroiditis,mondo:0005623,,,doid:7188,prefix='mondo' identifier='0005623' name='autoimmune thyroid disease',,,prefix='doid' identifier='7188' name='autoimmune thyroiditis'
Autoimmune urticaria,mondo:0025513,,,,prefix='mondo' identifier='0025513' name='autoimmune urticaria',,,
Autoimmune urticaria and/or angioedema,,,,,,,,
Uveitis,mondo:0020283,,,doid:13141,prefix='mondo' identifier='0020283' name='uveitis',,,prefix='doid' identifier='13141' name='uveitis'
Autoimmune vasculitis,mondo:0030703,,,doid:0040097,prefix='mondo' identifier='0030703' name='autoimmune vasculitis',,,prefix='doid' identifier='0040097' name='autoimmune vasculitis'
Lichen sclerosus,mondo:0007899,,,,prefix='mondo' identifier='0007899' name='lichen sclerosus et atrophicus',,,
Balo concentric sclerosis,mondo:0016430,,,doid:0060215,prefix='mondo' identifier='0016430' name='Balo concentric sclerosis',,,prefix='doid' identifier='0060215' name='Balo concentric sclerosis'
Behçet's syndrome,mondo:0007191,,,doid:13241,prefix='mondo' identifier='0007191' name='Behcet disease',,,"prefix='doid' identifier='13241' name=""Behcet's disease"""
Benign mucous membrane pemphigoid,mondo:0018746,,,doid:11656,prefix='mondo' identifier='0018746' name='mucous membrane pemphigoid',,,prefix='doid' identifier='11656' name='cicatricial pemphigoid'
IgA nephropathy,mondo:0005342,,,doid:2986,prefix='mondo' identifier='0005342' name='IgA glomerulonephritis',,,prefix='doid' identifier='2986' name='IgA glomerulonephritis'
Sarcoidosis,mondo:0019338,,,doid:11335,prefix='mondo' identifier='0019338' name='sarcoidosis',,,prefix='doid' identifier='11335' name='sarcoidosis'
